,description,fintech
2332,"We are a consulting company which provides solutions to product and machine design challenges. Specializing in:  Machine Design & Analysis, Patent & Mechanical CAD Drawings, 3D CAD Design (SolidWorks), FEA & Mechanical Simulations, Process Improvement & Machine Reliability",0
320,"Digital platform that accept cards, QR and contactless payments with  wide range of POS terminals - currently only operate in India",1
216,PayBoost helps people save money by automatically transferring funds into their savings account when they get paid.,1
2009,Mode Of Code brings ideas to life with creative and beautiful designs. Make responsive websites which adapt to any device. Build powerful web apps that provide the latest technology solutions and improve the business performance.,0
82,cnfloral provides online flower art education with different courses.,0
451,SPACEGOATS has the mission to simplify e-commerce and global expansion for online sellers. Our platform provides global fulfillment for marketplaces like Amazon helping small online sellers get up to 50% higher profit margins while reducing time spent on admin and operations.,0
571,"We provide Robotic Pipeline Inspection and Saves up to 55% of the Pipeline Maintenance Costs and 75% of the Time. At the moment, we are targeting the US Water & Wastewater industry. The market is $2.5Bn and grows 21% annually. The potential market opportunity is > $105Bn in the following industries: a) Energy; b) Construction; c)  Oil and Gas; d) Chemical; e) Food & Beverages; f) Mining. The potential target markets are North America, Europe, Russia, and India. Our solution has 2 key advantages: a) very challenging pipelines access; b) x6 times faster inspection results preparation. Arthur Kolesnikov (MSc Robotics, Skolkovo Institute of Science and Technologies, 2 Pipeline Inspection Projects Experience, 8-year Entrepreneurship); Vladislav Zadorozhnyy (MSc IoT, Bauman Moscow State Technical University, 6-year IoT experience)",0
263,"Social Enterprise payroll platform that enables businesses to finance their payroll, whilst giving employees freedom to choose how and when they are paid.",1
2276,"Address : 63 High St, East Haven, CT 06512, USA",0
457,"Aion brings digital banking with an integrated toolkit to manage revenue, spend and growth. No hidden fees and no surprises.",1
560,"Address: 1006 Hawthorne St, Desloge, MO 63601, USA",0
549,"Established in 2020 we are the premier Certification Body (CB) utilizing every bit of technology to provide the best value for a company that is required to maintain ISO certification.  With a team that has decades of auditing with other CB's we have learned and have developed the Certification Body of the future. Minimizing travel cost through our virtual audits, and tools used by the auditors and CB to provide real time updates online so you are well informed throughout the process.  No more waiting months to get your updated certification.",0
2999,"Address : 2111 Wynnton Rd, Columbus, GA 31906, USA",0
1072,Debt funding for SaaS companies.,1
1072,"Kelmedix sells medical supplies to help you when you are dealing with mobility issues, breathing problems, geriatric issues, diabetes, and more. Kelmedix enhances your life with scooters, lift chairs, power wheelchairs, portable oxygen concentrators, CPAP machines, home safety equipment, and braces. Address: 4646 Commercial Way, Spring Hill, FL 34606, USA",0
2569,"Crimestoppers Spain is an independent philanthropic initiative that helps fight crime in Latin America, providing all Spanish-speaking citizens with an anonymous and simple way to report criminal activity, with the legal certainty that Europe offers.",0
862,"Acho is a place where you can find, process, and publish data. No coding required, you may integrate different databases in one place, build complex data pipelines, and publish data to wherever you want.",0
1213,"Cashplus is a specialist UK digital challenger to banks for small businesses and consumers. We offer faster, smarter, simpler banking services for the entrepreneurs, independent businesses and individuals that power the UK economy, yet are too often overlooked by high street banks.",1
1165,"Ezetap makes the Ezetap device, a light-weight card reader that can be plugged into any smart device or feature phone used by a retailer. The technology allows anyone to accept cards--from merchants and cabdrivers to grocers and pizza deliverers. ",1
1770,"Blackbaud is a global provider of software and services designed for non-profit organizations enabling them to improve operational efficiency, build strong relationships, and raise more money to support their missions. Its products are utilized by approximately 19,000 organizations including the American Red Cross, Dartmouth College, the WGBHEducational Foundation, Episcopal High School, Lincoln Center, Cancer Research U.K., Special Olympics, and Arthritis Foundation.
Blackbaud’s products and services are used for fundraising, constituent relationship management, financial management, direct marketing, school administration, ticketing, business intelligence, website management, prospect research, consulting, and analytics. The company was founded in 1981 and is based in Charleston, S.C.",1
2014,"Address : 1422 Natchitoches St, West Monroe, LA 71291, USA",0
2334,"RillaMarks is a technology platform that aims to redefine the creative process by delivering creator-focused solutions to empower the creative community. As a company of creatives and for creatives, we want to provide and facilitate the development and sharing of artistic content and knowledge in a way that is captivating, incentivizing, valuable, and personal for the creative audience.",0
1179,"CareCloud is a healthcare information technology company that offers comprehensive software and services to help medical groups increase revenue, streamline workflow, and modernize the patient experience.",1
2671,"Black Opal Equity was a private equity firm that specialized in acquiring middle-market businesses in the United States. The firm invested in companies that service, or partnered with, the infrastructure, essential service and government sectors in the United States.",1
1211,"Vitable brings affordable primary and urgent care to people at their homes and workplaces through our network of providers. They deliver the full scope of care — everything from checkups and sick visits to blood draws and even X-rays — through virtual and in-person visits. All without copays. Because our providers visit patients where they live and work, we don’t have the expense of physical locations and are able to share those cost savings with our members.",0
1750,Futurestech is a marketing agency delivering digital and print solutions.,0
253,"Younited Credit is a P2P lending platform which enables qualified investors with savings (individuals, foundations, companies, institutions, etc.) to fund personal consumer loans.",1
2684,Digital OAT is a startup digital Agency with a vision to help businesses in their digital transformation and growth.,0
989,"Suprtrue is a collaborative web shop specliaizing in simply sustainable packaging. With its packaging selection, suprtrue wants to enable brands and companies to package their products in a more sustainable, stylish and environmentally friendly way. Their pack designs can be embellished with a business logo or an individual layout which can be previewed with the help of a 3D mockup before placing the order. Suprtrue user-friendly online shop with classical and special designs is their response to the need of the market. This way suprtrue clients save on costs for individual packaging design developments, are able to order large and small numbers, benefit from price transparency, save time on finding all suitable and sustainable packaging components, and ensure that their products are beautiful and eco-friendly. Suprtrue is based in Munich, Germany.",0
194,"We provides services of ecommerce solution, website development, SEO, SEM, Mobile Apps Solutions and more. NODZ Technologies is Pakistan base Full Stack Development & Digital Agency.",0
1339,Resort Lodging Company is a group of hardworking locals who love Steamboat and want to make sure that all guests have the experience.,0
1889,"Address: 72-17  Grand Ave, Maspeth, NY 11378, USA",0
457,"We believe that growing old is a privilege. One that does not come with a roadmap. CaringWire’s goal is to become that roadmap. Integrating technology with the human touch to become the “Google Maps” for caregivers. CaringWire is a decision support tool for seniors and caregivers. Empowering and preparing caregivers with guided content, training, and recommendations to enable self-management of even the most complex family challenges. We work with employers and health plans, helping them reduce risk by implementing a proactive approach for behavioral health and mental health.",0
2288,"Pune Designer one of the best web design companies in India. We not only give you the best web design service but also our service is affordable to every one. We provide services in Web Design, Development and Search Engine Optimization (SEO).",0
289,"Prairie Winds Golf Club is a golf club that offers a family-friendly atmosphere including golf, swimming pool, and restaurant to members. The golf club was formed in Watertown, South Dakota in 1926.",0
657,First Federal Bank is a community-based mutual bank that provides online banking and debit card services.,1
2318,UNO Technology developing globally relevant carbon dioxide (CO2) capture technology to reduce greenhouse gas emissions from the use of fossil fuels.,0
384,Acorns is a micro-investing platform that allows users to automatically invest spare change from everyday purchases into a diversified portfolio of ETFs.,1
332,"It enables fintech and all financial institutions with aggregating, enhancing, analyzing, presenting, and acting on financial data. MX enables banks and credit unions to achieve record-breaking growth by winning theircompetitor's most profitable account holders. ",1
2209,Domuso provides an advanced platform to manage payments and communication throughout the entire resident lifecycle.,1
375,"Digital Project Management and Operations training for digital agencies, departments, and product studios",0
950,"Domus Semo Sancus (DSS) Ltd, founded by E. Jay Saunders, is a financial technology company that is building tools to encourage financial inclusion and bridge the e-commerce divide.",1
537,"Build great hybrid customer experiences with live chat for text and voice channels. Botmaker is a SaaS messaging and services company to develop bots and live chat experiences for businesses. WhatsApp Solution Provider. Facebook Messenger Partner. Google Assistant Partner. Offices in Buenos Aires, Bogota, São Paulo and Miami.",0
1412,"Strategic Database Group provides analytical expertise, specialized data processing, and hosting capabilities for e-CRM installations.",0
374,DBS Group is one of the largest banks in Asia with a strong focus on fintech and digital transformation.,1
519,"Chaordic is a technology company that transforms artificial intelligence, data mining, and machine learning into personalized recommendations. Its mission is to help people discover what they like. The company's solutions include Chaordic OnSite, a solution that automatically generates product offers which are personalized for each visitor; Chaordic Mail which assures relevant communication between stores and their customers through personalization and real-time triggered messages; Chaordic Market, an e-commerce network that allows its users to publish relevant personalized advertisements; and Chaordic Search, a personalized search solution for e-commerce businesses. Chaordic was founded in 2009 and is based in Florian polis, Brazil.",1
44,iucars.com is an online car buying and service platform.,0
1079,"Hedley is an internationally recognized award-winning digital marketing agency that helps businesses explode sales and traffic through various online marketing strategies. The company has been featured in Forbes, ABC, Fox, Crunchbase, 7News as the fastest growing digital marketing agency in Australia and clients include Microsoft, TEDx, Toyota, Reebok, TagHeuer, Lufthansa, Honda. Pacific Petroleum, Häagen-Dazs.  Hedley is known to use proprietary disruptive and innovative digital marketing methods to tackle Search Engine Optimisation(SEO), Google Adwords, Facebook Ads, Bing Ads and social media marketing and management with average of 410% Return on Investment for its clients.  The founder, Jay Bae, is a successful serial entrepreneur, award-winning Microsoft OAM and an official Member of Forbes Business Council. He has been internationally recognised in digital marketing industry by Forbes and currently authors on the Magazine on topics related to innovative digital marketing strategies.",0
1169,Evive specializes in producing frozen smoothie cubes with nutritious ingredients and plant-based proteins.,0
1495,"Address: 300 N 5th St, Leesville, LA 71446, USA",0
2835,paypense brings PAYment and exPENSE management together. Paypense support employees with money whenever it's needed. Worldwide and real-time .,1
2706,"Protinus Infotech seeks to better the existing payments transaction ecosystem. In a smart world with unfettered connectivity right in your mobile phones, they are developing a mobile based payment solution to enable seamless payments across platforms.",1
835,"e-pay provides voucher and on-line top-ups for various prepaid services in Australia and Asia. The company operates in Prepaid Top-UP Services and Software Solutions segments. It distributes reload products, including prepaid mobile, IDD/STD, MVNO, WIMAX, broadband, prepaid games, mobile wallet, and gift card through various channels rangingfrom terminal, mobile handset, ATM, Internet, kiosk machine, and e-pos integration. The company also collects subscription for astro and satellite TV operators; acquires merchants for credit card and debit card transactions; and provides a platform for remittance cash in and cash out.",1
1282,"CyNation is a Platform as a Service for Enterprises to manage supply chain risk. We report, monitor and mitigate cyber security, compliance, KYB, AML and other business risks. Our Platform, CyDesk, integrates with and complements existing enterprise solutions. It utilises machine learning and data analytics technologies to provide an ongoing,unified view across departments of an organisation’s security posture and threats. ",1
111,"Online payment solution for SMEs through simple products, high performance conversion tools, and strong customer services. We help thousands of online merchants grow by offering them simple online and mobile credit card acceptance.",1
257,"SoFi is a personal finance company that offers student loan refinancing, mortgages, personal loans, and investing products.",1
1230,"Jubilant Biosys provides comprehensive drug discovery services and contract research services–from target discovery to candidate selection and with flexible business models (FFS, FTE and risk shared)–in partnership with leading worldwide healthcare companies.",0
357,"ENBISYS is an IT company established in 2006 headquartered in Tomsk, Russia with a representative office located in the Netherlands. With a strong focus on enterprise software development and IT consulting, we provide services to Clients all over the world.  14+ years in the market 55+ highly skilled software engineers  25 projects completed Ranked one the top B2B Companies in Eastern Europe on Clutch.com (https://clutch.co/profile/enbisys) Ranked in the top-20 fastest growing IT business in Russia in 2020 Developers of own ML product solutions (Plario, Ocuscreen) ENBISYS boasts a strong team of Engineers, Data Scientists and Analysts. Key team members including top management have a track record of academic work. Their competencies in Mathematics, Ontologies and Algorithms allowed us to create our own Machine Learning R&D department back in 2016.",0
433,TableSafe is transforming the way restaurants and other venues complete their hospitality service. TableSafe's RAIL(TM) provides a secure and innovative payment platform that empowers guests to fully execute the payment process at the table while maintaining control of their payment information at all times. ,1
2929,"Unqork is a no-code enterprise application platform that helps companies build, deploy, and manage complex applications. Its platform allows users to manage complex applications without writing a single line of code and streamlines the product sales process to improve customer experience that enables large companies to build complex custom softwarefaster with higher quality and lower costs than conventional approaches. It offers solutions for insurance, financial services, and state and local government sectors.",1
514,Chime is a mobile banking app that offers fee-free checking and savings accounts with no minimum balance requirements.,1
329,Dave is a mobile app that helps people avoid overdraft fees by advance planning and budgeting for upcoming expenses.,1
1278,"Juniper Capital Asset Management is an investment firm specializing in acquiring and investing in the real estate industry. The firm makes and manages capital investments across a number of real estate industry verticals, particularly those in the hospitality sector. It also provides end-to-end fund administration services to both proprietary and outside sponsor-managed investment funds. Juniper Capital Asset Management is based in Scottsdale, Arizona, USA.",0
564,BlueCoin is a fintech company that offers digital wallets for storing cryptocurrencies.,1
1820,"Headquartered in Folsom, CA, Sierra Pacific Mortgage provides quality mortgage lending services throughout the US. Incorporated in 1986, we are a privately held company and have originated and purchased billions in residential loans. Our high company production levels and sophisticated capital markets access allows us to deliver competitively priced products to brokers, retail originators and consumers.",1
1478,"Lendoit is a complete free market environment that contains all the elements that a credit business needs to function. Borrowers and lenders will find a loan marketplace complemented by a default marketplace, sustained by a global network of underwriters and scorers that let all market principants engage in business in legally steady way",1
1500,"Food is one of Life's Greatest Pleasures and Tastebook is motivated to Amplify its Beauty. Your very Own Foodie Profile, Bites, Sharing food, & Check-ins. Free to Download App with amazing built-in features, making one Enjoy Food like Never before.",0
1564,"The Vistech is one of the best IT business solution company that offers end to end solutions from concept and strategy, to design, implement and supports. It works in the most protective and effective way that fulfills almost all the demands of clients and customers because we consider clients or customers as our partners to create and support innovative solutions that help businesses become a lasting success in the marketplace. We offer cost-effective solutions to businesses of all standards and surely provide the best quality work and services in the IT industries. We are Business Oriented and we ensure to provide our clients or customers with the best solutions containing less risk. Our team believes that either our clients or customers irrespective of any size of business must be given equal concentration and services. We enhance the spectrum of our client's business and give it’s a new swing that puts their business to the top of the world markets. Our team consists of experienced business analyst, systems analyst, software engineer, project manager, application developer, web developer, graphic designer, content writer, technical support, technical consultant, software tester, marketing manager and SEO/SEM Experts we are proud of them. Our unity plays a most important role in completing the projects before deadlines and in most perfective way. Our manpower provides the way to out from problems through the easiest and end to & end business solution.",0
2200,"We are a Digital Marketing Agency, with multiple locations based. The wealth of experience in delivering top rankings for online businesses of all sizes. Our Experienced Digital Marketing team has years of experience and understand the inner workings of Google’s complex algorithm more than most, which is shown in our own successful top rankings in Google and other top search engines. We are one of the Top & Award-Winning Digital Marketing & SEO, ASO, PPC Agency.",0
580,Fintech startup that has developed a debit card with cash back rewards for users linked to their checking account balance.,1
575,"OnDeck is an online lender for small businesses offering term loans, lines of credit, and more.",1
1446,"Address: 710 E 9th St, Mission, TX 78572, USA",0
50,London fintech that has built a technology platform for banks and merchants to power itemised digital receipts,1
355,"SecurionPay redefines and simplifies mobile & online credit and debit card processing. We offer hassle-free and friendly payment experience created for Ecom Owners, Developers, Non-developers and End-users.

SecurionPay is a cross-device stand-alone gateway payment gateway that provides fast and limitless integration possibilities. Set ofclean and robust APIs is capable of supporting any payment scenario in the most secure and easy way.",1
1697,"Aardvarc was formed in 2006 by Engineers from the High Voltage Industry to meet the changing needs of the electrical end user specializing in Medium to High Voltage.They offer a wide range of services from Design and Build Turnkey projects to professional advice and technical services, through project management, purchasing assistance, value engineering, Decommissioning and asset Removal, construction, commissioning and ongoing HV/LV maintenance to meet your individual requirements.",0
2100,"The Kapslog Institute Of Digital Marketing is providing best Digital Marketing course in India, If you want to learn this go and join know, if you will join this course from here, you will get free seo tools. you will also get 100% job placement.You will also get many other benefits after joining this institute like lifetime free class access, pay your fee in EMI and many more.",0
488,"Napier AI's products increase efficiency and reduce risk by combining big data technologies with AI and machine learning. Its intelligent approach is applied to underpin the policy,process, and procedure, so users can focus on specific outcomes. The Napier platform is fast, scalable, and easily configurable, as well as user-friendly. It strengthens AML defences and trade compliance capabilities, while meeting a company’s compliance obligations and challenges in any sector.",1
2126,"AdviNOW Medical (ANM) uses artificial intelligence (AI) and augmented reality (AR) to completely automate the medical patient encounter and enable doctors to work at the top of their license. Both the patient and doctor experience are augmented with AI and AR to nearly eliminate repetitive tasks and allow the doctor to focus only on the decision of diagnosis, treatment and the patient consult. This automation reduces total provider time-per-patient that increases clinic throughput velocity and reduces patient wait times while maintaining the personal nature of the patient-doctor consult.  The AI assures each patient has an exact and personal consistency of care to assure the most appropriate care coordination and optimal outcomes which leads to increased patient satisfaction. ANM fundamentally reduces the cost to run existing clinics and is a common platform to drive point of care to the home. This invention promises to revolutionize healthcare for the entire world as every person has access to affordable care.",0
1604,"manage Compliance, Operational Due Diligence (ODD), Fund Launches, and Investor On-Boarding. It also re-organises historical information for multi purposes and allows our clients to securely deal with external parties, ensuring transparency, accountability to satisfy global financial regulators",1
545,"Betterment is an online financial advisor that provides goal-based investing, portfolio rebalancing, and tax-loss harvesting.",1
250,Robinhood is a commission-free stock trading platform that makes it easy for everyone to invest in the stock market.,1
2392,"Healthier India! We provide you the leafiest and greenest of the leafy greens, Lettuce! Perfectly Healthy Food Every Day to keep you healthy.",0
2610,"Paititi is a fun digital collectible trading community that allows you to collect, trade and manage digital assets like virtual stickers, 3D figures, stamps and cards from your favorite celebrities & influencers, independent artists, games and brands.",0
2806,"The Goldman Sachs Group, Inc. provides investment banking, securities, and investment management services, as well as financial services to corporations, financial institutions, governments, and high-net-worth individuals worldwide. Its Investment Banking segment offers financial advisory services, including advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions. The company's Institutional Client Services segment provides client execution services, such as fixed income, currency, and commodities client execution related to making markets in interest rate products, credit products, mortgages, currencies, and commodities; and equities related to making markets in equity products, as well as executes and clears institutional client transactions on stock, options, and futures exchanges. This segment also engages in securities services business providing financing, securities lending, and other brokerage services to institutional clients, including hedge funds, mutual funds, pension funds, and foundations. Its Investing and Lending segment originates longer-term loans; and invests in debt securities, loans, public and private equity securities, real estate, consolidated investment entities, distressed assets, currencies, commodities, and power generation facilities. The company's Investment Management segment provides investment products and services, as well as offers wealth advisory services, including portfolio management and financial counseling, and brokerage and other transaction services. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.",1
510,BillGuard is a bill tracking and payment app that helps users stay on top of their finances and avoid late fees or overspending.,1
613,Kabbage is a financial technology company that provides working capital to small businesses through an automated online platform.,1
2722,"Kite Systems is a computer software company that features a software platform that specializes in cloud computing. It provides virtualized storage that enables its users to upload their files and data online and have access anytime. The company was founded in 2015 and headquartered in Tel Aviv, Israel.",0
1664,"Mello helps companies to measure, track, and action on burnout. Its vision is to bring well-being to every teams' workflow.",1
2755,"Livecaller ncreases customer satisfaction (Chat, calling and co-browsing, convenience of communication hugely increases your customers satisfaction rate, together with the ability of having direct, on the spot communication, taking away the need for phone calls and emails). Livecaller increase sales (The cons of buying online include a lack of information for customers. Our software means that they can communicate directly with you, asking any questions they may have and thus increasing your sales.)",0
907,"King Street Properties provide space solutions to companies whose missions: pharmaceutical and bio-tech firms racing to develop lifesaving drugs, makers of medical devices and diagnostic tools, and clean-tech companies harnessing renewable materials and energy sources. King Street Properties is the largest privately-held and locally-based owner of life science real estate in the Greater Boston area. With over 1.7 million square feet of lab space under ownership and management in Massachusetts and New York. Today, they own over $150 million of laboratory and office space concentrated within the core science submarkets of Boston, Massachusetts. These include the towns of Cambridge, Waltham, and Lexington. King Street’s experienced professionals combine big-company experience with a hands-on entrepreneurial approach to execute its tightly defined mission.",0
637,"Founded in 2017, the company aims to transfer knowledge and industry practice to where it is needed. We use our tailor-made and holistic solutions and services as well as our expertise in the areas of software development and promotion to be as skillful as possible.  At Technom Limited, we can help you with: business processes, automation, internet projects, publishing & promotion, and software development. We believe in the customer-first approach and keenly adhere to a stringent quality policy. At Technom Limited, we align our internal processes and methodologies completely oriented to requirements and businesses od our clients. Why Choose Us? •	On-Time Project Delivering •	Result-Oriented Solutions •	Agile Methodology Models •	24/7 Maintenance and Support After Project Delivery  •	Worldwide Satisfied Customers Comprised of more than 100 experts, our team supports many key accounts, helping them define their business strategy and implement their software, mobile and digital services",0
2179,Aplazo is an online-based platform that offers different products where its users can pay through installment. The company was founded by Alex Wieland and Angel Pena in 2020 and is headquartered in Mexico.,1
1783,"Causal Discovery and inference: We help customers to uncover cause and effect relationships in complex data. We invented the Object Analytics database as the key to Causal Discovery. Xplain Data organizes data in a different, “object-centric” way and provides access to objects as a whole. No expensive preprocessing. Faster turn-around times",0
2471,Nihonshokken will not sell any products directly within this website.,0
131,"With neon, you're completely mobile as you can access your money from anywhere. With an intuitive app and fairer prices. Always confident that your money is safe. Behind the curtain, neon is four founders with a total of over 50 years experience in the banking sector, supported by a strong team with a big vision. They built the app they've been sorely missing.",1
840,"Digital Geeks is an award-winning website development company that offers web designing and development services. We have a team of expert web developers that make us a unique one-stop solution for our clients, spread across the globe. Our expert in-house team used cutting edge technologies to build custom and robust web applications that are attractive, unique, and high performance. We develop and deliver quality products within the agreed timeline at an affordable cost.",0
304,Aye Finance is a finance company that provides business loans to micro and small businesses in Northern India.The company's mission is to provide innovative and customer-centered financial services to micro and small business through effective technology and robust processes. It works with a relevant technology to facilitate better financialinclusion and to consequently serve micro-enterprises.,1
395,"Grand Bank, N.A. is a community-oriented financial institution which operates from two offices in Mercer County, New Jersey. Grand Bank conducts a general commercial banking business, principally in the state of New Jersey. Grand Bank’s loan products consist primarily of commercial loans, commercial mortgages, and loans to professionals secured by business or personal assets. Grand Bank offers a complete complement of deposit accounts, including time deposits, checking and other demand deposit accounts, savings accounts, and money market accounts. Grand Bank targets small businesses, professionals, and high net worth individuals as its prime customers. In 2019, Grand Bank got merged with First Bank.",1
716,Spain-based Afterbanks provides APIs for individuals and financial institutions. Provides identity verification API for microfinance institutions,1
1917,"Fresh The Good Food Market is a Dublin based Fresh Food, Fine Wine, Craft Beer and essentials group of stores. Fresh are a Supermarket by birth but our stores put huge emphasis into great food for now, take home food and quality beverages.",0
1633,"Hastee is an employee benefit that companies can offer to their workforce. It empowers employees to receive their earned pay immediately to increase their choice and financial wellbeing. Companies profit from the improved productivity, engagement, recruitment & retention of their workforce, with zero cost or impact on company cash-flow.",1
898,"It provides a digital banking app designed to cater to the underbanked masses. An account with Pockit takes just two minutes to open and comes with an online account, contactlessMasterCard, and mobile app. There are no credit checks, just an online form, and a one-off payment of 99p. Account-holders can have their salary, benefits, or pension paid in via bank transfer, or with cash at any of the 30,000 PayPoint locations across the UK.",1
624,"Asia ENV Group is one of Asia's leading business consulting firms. We work with top executives to help them make better decisions, convert those decisions to actions, and deliver the sustainable success they desire. For twenty years, we've been passionate about achieving better results for our clients—results that go beyond financial and are uniquely tailored, pragmatic, holistic, and enduring. From climate change to rapid urbanization, our world is a more complex place. Whether it is maximizing space in cities or making wasteland habitable, we deliver exceptional and sustainable outcomes for our clients throughout the Asia-Pacific. Our people work collaboratively to create value through built and natural assets that work in harmony with their surroundings – from shopping centers in Beijing to new rail systems in New Delhi and reducing air pollution in Kuala Lumpur. Asia ENV Group is Asia's leading Design & Consultancy for natural and built assets. Applying our deep market sector insights and collective design, consultancy, engineering, project and management services we work in partnership with our clients to deliver exceptional and sustainable outcomes throughout the lifecycle of their natural and built assets.",0
2585,Circus Marketing is a multicultural and fully integrated digital content agency that partners with the top brands to develop high-impact ideas.,0
1913,"Address: 100 Serafini Dr, Del Rio, TX 78840, USA",0
498,Wealthfront is a robo-advisor that provides financial planning and investment management services.,1
970,"BankBazaar.com offers neutral online marketplace that gives you instant customized rate quotes on Loans, Mutual Funds and Insurance products. You can instantly search for, compare and apply for these products on the site or mobile app. It is designed with smart technology capabilities, and over 50 of India's leading financial companies andinsurance firms have chosen to integrate themselves with the platform.",1
538,"Ramsauer & Stürmer Software is a provider of business software solutions. Ramsauer & Stürmer offers clients a full spectrum of ERP functionality with its rs2 business software. with tailored solutions catering to a variety of industries, including construction, cable car systems, food and beverage, service providers, non-profits, and production, Ramsauer & Stürmer is a trusted partner to over 400 clients around the world.",0
1456,"Provider of digital banking services based in Sao Paulo, Brazil. The company offers virtual cards, digital accounts, debit cards, credit cards and checking account services including bank transfers, payments and withdrawals.",1
1616,"Address : 122 E 42nd St, #2820, New York, NY 10168, USA",0
2293,"We are a Leading natural health products and skincare contract manufacturer based in Toronto, Canada.    Deemed to be the most innovative and fastest to expand in the industry, Bill Beauty & Health Products Ltd.’s culture is exactly that. Our young history in branding and manufacturing in Canada has propelled us forward with energy to excel amongst the best in the industry. What keeps us motivated is our slogan: BILL – Better Immunity, Longer Life.",0
1318,"Curv is a developer of digital asset security infrastructure helping crypto-native and financial institutions to create digital wallets. The company's security technology is enabling users to build crypto finance products that safely transfer, store, and manage any digital asset on any blockchain or digital system for recording transactions.Its research and development office is located in Tel Aviv, Israel. Curv's decentralized security model utilizes multi-party computation (MPC) protocols, enabling transactions to be securely signed in a mathematically-proven, distributed way. Its enterprise-grade policy engine allows clients to define risk profiles and enforce granular policies to ensure only authorized transactions are allowed.",1
1575,"The Easiest Way To Bring AI To Life. SmartPredict allows everyone to complete all steps of the Data Science pipeline for AI/ML projects, in a simpler and customizable way. Our mission is to make AI more accessible to non-experts in Data Science, to provide companies with the ability to include AI in their business and to accelerate experts' tasks (from months to hours). Get the most of real life AI project quickly without being an Expert, with SmartPredict!",0
68,"Digit analyzes your spending patterns and saves money for you automatically, so you can reach your financial goals faster.",1
1556,"Recoloring creates new category of fantasy art, in which drawing interacts with photography. Artificial Intelligence powered brush drastically simplifies this process. You just need to select an approximate area, then it will try to understand what you have in mind and will expand the selected area to exact boundaries. Everybody can draw work of art, unleash your creativity.",0
84,Orphan Disease Treatment Institute develops a treatment for Duchenne muscular dystrophy.,0
2396,"AISAN TECHNOLOGY is a surveying and civil engineering software development company. The company’s customers are primarily involved in public works projects in the fields of “measurement/design,” “construction,” and “land and house investigation” pertaining to real estate registration. Its business is founded upon providing customers with analysis technologies to determine position more accurately. AISAN TECHNOLOGY offers multiple types of software and services as flexible solutions for various problems presented by different types of work necessary in each respective industry.",0
2125,"Address: 1716 W 9th St, #1, Sedalia, MO 65301, USA",0
1628,"Bitdefender is a software that secures files and folders from different types of malware and viruses. It blocks unprotected content and will also check the entire network. It is an antivirus that protects all personal details saved on the web browser and it offers real time protection from malicious software, protection of the default browser and web security.",0
765,Bird Construction has been providing construction services to a long list of new and repeat clients. The company focus on executing challenging projects that take advantage of the technical strength of the company and talented employees in order to generate superior and sustainable financial performance.,0
1460,Dayaxe is a marketplace that sells hotel amenities.,0
1518,"Address: 1422 Easton Rd, Abington, PA 19001, USA",0
2119,"It offers a global real-time payment system that enables banks and financial institutions around the world to directly transact with each other without the need for a central correspondent. The company also offers FX Market Making, a solution enablingenterprises to gain access to cross-currency liquidity through a distributed network that allows foreign exchange to be externally sourced from a competitive FX marketplace or an internal FX trading desk. ",1
1991,Provide traditional banking services to consumers and businesses,1
2424,"BOYDSense specializes in developing non-invasive and affordable tools for measuring critical biomarkers via the exhaled breath. The company provides breath-based metabolomics focuses on the capture, identification, and quantification of volatile organic compound (VOC) biomarker patterns in human breath and using it to diagnose and monitor chronic diseases. It was founded in 2015 and headquartered in South San Francisco, California.",0
685,"Vivoipl.com operates an online sports streaming platform. It began operation in 2018, with its headquarters in Rajasthan in India, now as a subsidiary of Richkart.",0
2049,"Address: 1904 W Corpus Christi St, Beeville, TX 78102, USA",0
1549,"Address: 300 Maitland Ave, Altamonte Springs, FL 32701, USA",0
1713,"D2C trading platform enabling investment through education, portfolio building, and real market data from global exchanges",1
1751,"The BestExchangeRates platform is a physical foreign exchange pricing service that provides comparison of the latest currency prices from multiple vendors in over 50 countries including Australia, New Zealand, United Kingdom, Canada, United States, Singapore, Hong Kong and Eurozone.",1
639,"IDP Ingeniería is a company specialized in providing engineering services based on BIM methodology. The company has extensive national and international experience in the industrial, logistic, non-residential construction, retail, environmental, and infrastructure sectors. IDP business model is based on innovation, which has allowed the company to apply BIM methodology to the entire life cycle of the asset (design, construction, and maintenance), improving design´s quality and reducing costs and execution times. In addition, the company has developed unique capabilities in digitalization to improve assets performance through the development of Digital Twins for construction, operation, and maintenance.",0
1095,ReFocus Eye Health is a collaboration of ophthalmology practices and surgery centers dedicated to the provision of top-quality eye care through its physician partners.,0
354,EDoula helps people in providing labor tools and support and bring the wisdom and support of doulas to every family and their birth team. The company equips people and their labor partners to take an active and empowered role in pregnancy and childbirth.,0
